City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
vaini,25,TO,1579991702,87,-21.2,-175.2,78.55,19.64
punta arenas,9,PH,1579991811,85,8.99,125.34,77.97,4.94
cruzilia,5,BR,1579991811,92,-21.84,-44.81,63.36,3.65
mahibadhoo,100,MV,1579991812,79,3.78,72.97,80.82,13.89
mys shmidta,100,RU,1579991812,96,62.06,48.62,4.1,3.89
castro,9,BR,1579991703,72,-24.79,-50.01,65.7,3.38
lebu,0,CL,1579991812,69,-37.62,-73.65,64.08,10.94
butaritari,12,KI,1579991812,72,3.07,172.79,85.03,10.56
rikitea,18,PF,1579991812,77,-23.12,-134.97,79.25,14.03
turangi,0,NZ,1579991812,51,-39.0,175.93,81.0,4.0
norman wells,32,US,1579991517,45,35.22,-97.44,63.0,10.29
ushuaia,100,AR,1579991638,82,-54.8,-68.3,40.06,5.44
san cristobal,64,ML,1579991812,9,13.3,-4.9,74.7,10.31
san luis,64,ML,1579991743,9,13.3,-4.9,74.7,10.31
saint-philippe,79,RE,1579991812,77,-21.36,55.77,72.0,17.31
mugumu,100,TZ,1579991813,92,-1.85,34.7,65.12,2.37
port alfred,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
dikson,100,RU,1579991813,96,73.51,80.55,-7.82,7.07
naryan-mar,99,RU,1579991813,100,67.67,53.09,-8.81,5.91
ogembo,100,KE,1579991813,97,-0.8,34.73,63.54,6.04
port hedland,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
thompson,100,CA,1579991813,96,55.74,-97.86,17.17,3.69
provideniya,0,RU,1579991718,68,64.38,-173.3,-4.65,3.67
sukhumi,4,GE,1579991813,51,43.0,41.02,36.82,3.58
airai,100,TL,1579991526,76,-8.93,125.41,76.33,1.03
arraial do cabo,44,BR,1579991813,61,-22.84,-46.65,77.0,1.99
esperance,86,AU,1579991644,80,-33.87,121.9,66.4,3.38
kaitangata,66,NZ,1579991736,80,-46.28,169.85,58.48,10.56
ponta do sol,100,PT,1579991814,73,38.73,-28.27,54.72,5.19
ribeira grande,10,ES,1579991814,96,42.75,-8.44,51.01,1.99
hermanus,46,ZA,1579991814,76,-34.42,19.23,66.0,11.01
bredasdorp,31,ZA,1579991814,68,-34.53,20.04,66.2,21.92
verkh-usugli,18,RU,1579991814,91,52.7,115.17,-3.55,0.63
mahebourg,75,MU,1579991814,83,-20.41,57.7,77.0,11.41
severo-kurilsk,100,RU,1579991814,92,50.68,156.12,18.72,43.49
mataura,73,NZ,1579991815,66,-46.19,168.86,69.01,4.0
haines junction,90,US,1579991815,67,59.23,-135.44,21.2,23.04
port hardy,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
praia,75,CV,1579991815,72,14.92,-23.51,71.33,13.09
ancud,100,CL,1579991815,95,-41.87,-73.82,58.95,7.4
albany,100,US,1579991550,89,42.6,-73.97,39.99,3.69
upernavik,78,GL,1579991760,95,72.79,-56.15,-13.83,6.85
necocli,100,CO,1579991815,83,8.42,-76.79,79.74,18.61
ambulu,80,ID,1579991815,74,-8.35,113.61,82.49,5.23
souillac,75,MU,1579991815,83,-20.52,57.52,77.0,11.41
san patricio,64,ML,1579991812,9,13.3,-4.9,74.7,10.31
kushmurun,100,KZ,1579991815,86,52.45,64.63,18.84,22.46
busselton,19,AU,1579991704,57,-33.65,115.33,69.01,8.79
vao,66,NC,1579991816,77,-22.67,167.48,78.13,16.04
inverness,100,GB,1579991816,82,57.48,-4.22,48.0,5.99
gweta,2,BW,1579991816,59,-20.18,25.23,73.49,6.31
longyearbyen,0,SJ,1579991646,57,78.22,15.64,-11.6,2.08
clyde river,90,US,1579991816,97,41.3,-82.98,35.01,12.75
usvyaty,33,RU,1579991816,80,55.75,30.75,29.66,8.23
grand river south east,89,US,1579991650,79,38.88,-109.5,36.0,0.81
amahai,78,ID,1579991816,75,-3.33,128.92,82.83,4.94
kodiak,72,US,1579991642,83,57.79,-152.41,19.18,23.6
kapaa,74,US,1579991816,73,22.08,-159.32,77.0,1.01
lavrentiya,0,RU,1579991749,76,65.58,-171.0,-13.2,2.26
cherskiy,100,RU,1579991767,95,68.75,161.3,-20.88,2.28
hobart,86,AU,1579991552,63,-42.88,147.33,72.0,1.99
sept-iles,73,CA,1579991574,78,50.2,-66.38,17.01,2.91
penapolis,3,BR,1579991747,74,-21.42,-50.08,72.86,5.32
carutapera,100,BR,1579991817,80,-1.2,-46.02,82.38,13.67
tecoanapa,0,MX,1579991817,64,16.52,-98.75,80.96,6.87
deer lake,90,US,1579991817,69,38.62,-91.8,39.0,5.82
itarema,86,BR,1579991717,88,-2.92,-39.92,78.49,6.58
bambous virieux,75,MU,1579991817,83,-20.26,57.41,77.0,11.41
sasykoli,100,RU,1579991817,89,47.55,47.0,35.91,21.32
hilo,53,US,1579991818,83,19.73,-155.09,78.01,3.0
qaanaaq,0,GL,1579991818,44,77.48,-69.36,-12.51,5.12
yellowknife,100,CA,1579991665,84,62.46,-114.35,10.0,1.57
cacapava do sul,11,BR,1579991818,96,-23.1,-45.71,63.27,1.05
fukue,98,JP,1579991818,79,32.69,128.84,54.95,23.69
andra,57,RU,1579991818,97,62.51,65.89,-9.11,3.36
bengkulu,88,ID,1579991714,89,-3.8,102.27,74.98,2.44
yangshe,100,CN,1579991818,99,31.89,120.61,46.99,1.99
gondanglegi,78,ID,1579991818,84,-7.75,112.01,77.76,4.76
les cayes,96,ES,1579991818,62,42.81,0.71,46.0,3.0
bluff,46,NZ,1579991638,66,-46.6,168.33,69.01,4.0
katherine,98,AU,1579991818,79,-14.47,132.27,83.23,8.41
yuzhno-kurilsk,100,RU,1579991819,76,44.03,145.86,17.13,20.74
luderitz,0,NA,1579991819,90,-26.65,15.16,65.77,16.64
yokadouma,51,CM,1579991819,28,3.52,15.05,63.82,3.0
khatanga,57,RU,1579991819,91,71.97,102.5,-24.14,2.89
atuona,62,PF,1579991819,78,-9.8,-139.03,80.78,15.21
bethel,100,US,1579991663,97,41.37,-73.41,51.01,1.01
ilulissat,96,GL,1579991819,43,69.22,-51.1,10.4,11.41
saint-pierre,87,RE,1579991732,77,-21.34,55.48,72.0,13.09
sayyan,14,YE,1579991819,69,15.17,44.32,50.86,3.27
moose factory,100,US,1579991819,85,43.66,-110.72,34.0,4.74
geraldton,30,AU,1579991719,84,-28.77,114.6,72.57,15.68
puerto ayora,0,ES,1579991820,91,36.59,-6.23,52.0,1.83
tuktoyaktuk,100,CA,1579991820,96,69.45,-133.04,-16.22,21.56
chapleau,100,CA,1579991820,99,47.84,-83.4,33.44,1.92
munirabad,54,IN,1579991820,57,15.33,76.33,65.88,2.57
tevriz,81,RU,1579991820,98,57.51,72.4,-3.39,5.44
saskylakh,100,RU,1579991820,92,71.92,114.08,-20.0,17.58
jamestown,100,US,1579991702,93,42.1,-79.24,37.0,5.99
camana,65,PE,1579991820,84,-16.62,-72.71,67.64,5.53
srikakulam,80,IN,1579991821,93,18.3,83.9,66.72,3.11
lalawigan,0,PH,1579991821,85,11.59,125.47,80.44,6.11
cape town,0,CL,1579991821,28,-36.41,-71.9,82.9,11.81
hami,0,CN,1579991821,75,42.8,93.45,6.49,1.86
montoro,99,ES,1579991821,97,38.02,-4.38,52.0,1.01
sistranda,100,NO,1579991821,91,63.73,8.83,45.0,25.99
georgetown,46,MY,1579991725,88,5.41,100.34,78.01,3.0
muisne,60,EC,1579991821,87,0.6,-80.03,77.54,8.84
burnie,98,AU,1579991821,99,-41.07,145.92,69.01,7.0
hambantota,62,LK,1579991821,73,6.12,81.12,78.12,20.98
port elizabeth,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
apeldoorn,57,NL,1579991822,96,52.21,5.97,36.0,4.0
saint-augustin,36,CA,1579991822,78,51.23,-58.65,15.12,11.12
kohlu,0,PK,1579991822,61,29.9,69.25,43.75,4.41
nabire,87,ID,1579991822,70,-3.37,135.48,85.39,0.54
bonavista,6,CA,1579991822,79,48.65,-53.11,18.0,10.0
aranos,0,NA,1579991822,15,-24.13,19.12,73.11,7.52
simao,0,CN,1579991822,77,22.79,100.97,39.09,2.44
tautira,75,PF,1579991761,66,-17.73,-149.15,87.01,13.0
umkomaas,0,ZA,1579991822,89,-30.21,30.8,75.99,1.01
torbay,0,CA,1579991713,79,47.67,-52.73,19.0,4.0
tingi,96,TZ,1579991823,87,-11.3,35.03,67.82,3.67
hithadhoo,100,MV,1579991695,79,-0.6,73.08,82.65,14.88
nikolskoye,0,RU,1579991712,81,59.7,30.79,30.0,5.88
pangnirtung,100,CA,1579991823,99,66.15,-65.71,-37.07,1.57
cabo san lucas,58,BR,1579991823,86,-8.28,-35.03,80.85,9.73
vanimo,30,PG,1579991823,81,-2.67,141.3,83.28,14.9
zhucheng,100,CN,1579991823,70,35.99,119.4,31.55,7.14
burgeo,0,CA,1579991823,73,47.62,-57.62,26.4,6.64
grand gaube,89,US,1579991823,79,38.88,-109.5,36.0,0.81
ukiah,100,US,1579991791,94,39.15,-123.21,60.01,4.34
sitka,100,US,1579991824,93,57.05,-135.33,41.65,20.49
pacasmayo,87,PE,1579991824,75,-7.4,-79.57,75.78,14.23
timizart,50,DZ,1579991824,57,36.8,4.27,60.31,12.84
guanambi,92,BR,1579991696,87,-14.22,-42.78,71.71,1.5
matagami,100,CA,1579991824,93,49.75,-77.63,30.69,6.96
pochutla,0,MX,1579991824,74,15.74,-96.47,81.5,8.5
karratha,0,AU,1579991750,74,-20.74,116.85,85.59,2.82
marquette,90,US,1579991824,95,46.53,-87.63,33.01,8.05
chuy,24,UY,1579991824,76,-33.7,-53.46,67.91,7.36
kokstad,25,ZA,1579991824,76,-30.55,29.42,57.04,4.97
banda aceh,0,IN,1579991825,59,25.48,80.33,50.94,3.98
dingle,43,PH,1579991825,84,11.0,122.67,78.64,5.7
leh,100,IN,1579991825,94,34.17,77.58,-3.08,4.68
hualmay,94,PE,1579991751,73,-11.1,-77.61,73.54,3.8
new norfolk,0,LR,1579991825,95,6.65,-10.59,74.14,0.78
avarua,99,CK,1579991825,83,-21.21,-159.78,80.76,13.44
padang,93,ID,1579991526,96,-0.95,100.35,70.02,1.9
bari,100,IT,1579991825,100,41.12,16.85,52.0,10.0
turukhansk,93,RU,1579991825,94,65.82,87.98,0.25,2.15
kruisfontein,27,ZA,1579991825,86,-34.0,24.73,66.63,22.3
fernie,75,CA,1579991559,60,49.5,-115.07,41.0,3.36
enshi,89,CN,1579991826,94,30.3,109.48,32.61,2.44
salalah,45,OM,1579991555,86,17.02,54.09,71.08,4.76
rodas,31,CU,1579991826,80,22.34,-80.56,69.22,8.9
shatura,99,RU,1579991826,80,55.57,39.54,28.08,14.14
kampot,56,KH,1579991826,80,10.62,104.18,77.41,1.41
luxor,0,EG,1579991577,78,25.7,32.64,42.58,2.84
moerai,67,PF,1579991826,73,-22.43,-151.33,81.21,6.2
srednekolymsk,100,RU,1579991747,96,67.45,153.68,-25.67,4.18
novita,100,CO,1579991827,97,4.96,-76.61,72.46,0.45
bikin,47,RU,1579991827,95,46.82,134.26,-10.1,6.29
norton shores,78,ZW,1579991827,93,-17.88,30.7,61.81,5.37
warmbad,6,NA,1579991827,88,-28.45,18.73,57.9,14.79
kazachinskoye,82,RU,1579991827,88,57.7,93.28,19.18,7.76
namibe,7,AO,1579991827,73,-15.2,12.15,74.95,11.05
yanji,0,CN,1579991827,76,42.91,129.51,8.06,2.3
poplar bluff,100,GB,1579991827,99,51.51,-0.02,44.01,6.87
miranda,75,CO,1579991827,83,3.25,-76.23,75.2,3.36
byron bay,90,US,1579991828,80,44.03,-92.65,33.01,17.22
ngunguru,53,NZ,1579991828,62,-35.62,174.5,78.01,3.0
chongwe,2,ZM,1579991828,95,-15.33,28.68,61.86,3.91
shaoxing,100,CN,1579991828,89,30.01,120.57,48.99,4.7
maceio,94,BR,1579991669,85,-9.67,-35.74,81.57,18.07
korla,4,CN,1579991828,44,41.76,86.15,13.26,1.77
jakar,5,BT,1579991828,83,27.55,90.75,21.29,3.53
mineiros,80,BR,1579991828,89,-17.57,-52.55,70.86,1.57
chapais,100,CA,1579991828,95,49.78,-74.85,24.42,7.2
soyo,100,AO,1579991828,88,-6.13,12.37,79.75,9.42
sarkand,100,KZ,1579991828,98,45.41,79.92,30.38,2.26
stonewall,100,CA,1579991829,85,50.13,-97.33,24.01,13.0
nicoya,11,CR,1579991829,78,10.15,-85.45,73.0,18.01
barrow,1,US,1579991829,97,71.29,-156.79,-31.0,9.17
mwense,80,ZM,1579991829,98,-10.38,28.7,64.15,1.3
bati,100,ET,1579991829,89,11.18,40.02,60.53,2.26
carnarvon,15,AU,1579991723,63,-24.87,113.63,78.37,20.2
san vicente,64,ML,1579991829,9,13.3,-4.9,74.7,10.31
mayo,75,US,1579991634,75,38.89,-76.51,48.99,5.82
pitimbu,71,BR,1579991821,85,-7.47,-34.81,79.47,4.7
stromness,100,GB,1579991829,74,58.97,-3.3,46.87,22.17
iqaluit,38,CA,1579991805,60,63.75,-68.51,-27.0,8.99
nekhayevskiy,100,RU,1579991705,82,50.41,41.76,36.0,11.01
arlit,16,NE,1579991830,10,18.74,7.39,66.99,8.59
brae,100,GB,1579991830,81,60.4,-1.35,46.94,23.09
vestmannaeyjar,70,IS,1579991830,65,63.44,-20.27,39.11,15.39
zhoucheng,100,CN,1579991830,50,35.91,116.31,36.86,3.8
belyy yar,67,RU,1579991830,83,55.84,32.94,27.88,9.4
luohe,100,CN,1579991830,69,33.57,114.04,37.47,6.08
tuatapere,78,NZ,1579991830,66,-46.13,167.68,69.01,4.0
borgo san dalmazzo,75,IT,1579991830,69,46.05,11.45,45.0,2.24
nanortalik,100,GL,1579991830,75,60.14,-45.24,23.04,13.27
maniitsoq,100,GL,1579991831,88,65.42,-52.9,13.51,8.16
buluang,61,PH,1579991831,86,13.31,123.34,77.04,1.41
maldonado,0,UY,1579991786,61,-34.67,-54.92,63.79,5.1
parli,70,IN,1579991831,51,18.85,76.53,68.27,1.28
tasiilaq,100,GL,1579991749,73,65.61,-37.64,26.6,12.75
tiznit,42,MA,1579991831,92,29.58,-9.5,47.37,3.49
khvastovichi,66,RU,1579991831,84,53.47,35.09,29.8,10.85
manokwari,100,ID,1579991831,70,-0.87,134.08,79.12,2.82
chokurdakh,85,RU,1579991831,82,70.63,147.92,-26.25,4.25
guerrero negro,48,MX,1579991831,78,17.67,-100.0,60.1,3.62
marabba,0,SD,1579991831,18,12.35,32.18,60.01,11.23
elda,70,ES,1579991831,87,38.48,-0.79,53.01,3.0
kahului,7,US,1579991740,70,20.89,-156.47,80.01,8.99
caravelas,100,BR,1579991628,83,-17.71,-39.25,77.02,10.02
challans,100,FR,1579991832,97,46.84,-1.87,46.99,3.0
cayenne,77,GF,1579991832,91,4.93,-52.33,76.46,7.56
danielskuil,0,ZA,1579991832,53,-28.19,23.54,62.94,11.95
tiksi,0,RU,1579991832,67,71.69,128.87,-26.52,5.5
beloha,0,MG,1579991832,82,-25.17,45.05,67.91,12.3
taft,89,IR,1579991730,80,31.75,54.21,19.02,7.0
bairiki,6,KI,1579991833,74,1.33,172.98,84.69,10.09
bathsheba,95,BB,1579991751,79,13.22,-59.52,77.88,9.31
gushi,100,CN,1579991833,96,34.64,109.58,35.26,5.91
rocha,0,UY,1579991833,76,-34.48,-54.33,62.4,5.48
coos bay,90,US,1579991833,72,43.17,-124.0,59.0,3.36
ivolginsk,0,RU,1579991833,92,51.75,107.28,-4.86,2.46
ballina,0,AU,1579991833,83,-28.87,153.57,80.01,10.27
ust-nera,81,RU,1579991783,97,64.57,143.2,-40.95,2.39
deputatskiy,55,RU,1579991833,100,69.3,139.9,-40.23,0.76
eyl,89,SO,1579991833,82,7.98,49.82,79.05,20.13
severo-yeniseyskiy,100,RU,1579991833,83,60.37,93.04,14.04,17.52
axim,94,GH,1579991834,86,4.87,-2.24,75.9,1.32
phan rang,0,TH,1579991834,99,19.55,99.74,52.0,2.46
coihaique,0,CL,1579991799,84,-45.58,-72.07,52.11,9.69
shenjiamen,100,CN,1579991834,89,29.96,122.3,54.79,20.92
sao luiz gonzaga,9,IN,1579991734,41,20.51,76.21,64.72,3.0
codrington,76,AU,1579991739,89,-38.27,141.97,62.37,14.85
alofi,95,NU,1579991743,81,-19.06,-169.92,81.03,6.82
anopino,99,RU,1579991834,82,55.7,40.67,27.82,14.9
vardo,100,NO,1579991834,70,70.37,31.11,23.18,28.57
victoria,100,HK,1579991830,94,22.29,114.16,62.01,1.01
kulhudhuffushi,100,MV,1579991834,66,6.62,73.07,82.44,6.44
amuntai,95,ID,1579991835,96,-2.42,115.25,75.74,2.24
abalak,82,RU,1579991835,96,58.13,68.59,-0.09,5.53
scarborough,30,GB,1579991835,87,54.28,-0.4,44.01,8.99
nipawin,100,CA,1579991835,95,53.37,-104.0,25.48,8.19
develi,0,TR,1579991835,49,38.39,35.49,24.06,4.14
sao miguel do araguaia,9,IN,1579991734,41,20.51,76.21,64.72,3.0
gannan,0,CN,1579991835,66,47.91,123.5,3.25,4.41
nome,0,US,1579991835,71,64.5,-165.41,-7.51,7.85
picos,99,BR,1579991835,71,-7.08,-41.47,78.75,2.19
zholymbet,98,KZ,1579991836,88,51.74,71.71,7.07,21.41
rakaia,54,NZ,1579991836,22,-43.75,172.02,78.01,8.01
malanje,100,AO,1579991836,98,-9.54,16.34,65.03,5.06
dmitrovsk-orlovskiy,68,RU,1579991836,91,52.51,35.15,30.16,14.34
narsaq,92,GL,1579991836,72,60.92,-46.05,15.8,3.36
muros,37,ES,1579991836,82,42.78,-9.06,51.01,3.71
leningradskiy,97,RU,1579991836,95,69.38,178.42,-12.41,4.21
ambilobe,99,MG,1579991836,95,-13.2,49.05,74.59,4.7
cockburn town,0,AU,1579991836,32,-32.08,141.0,81.09,15.68
talant,31,FR,1579991836,95,47.34,5.01,34.23,3.33
ust-maya,43,RU,1579991837,98,60.42,134.53,-47.43,0.83
chabahar,21,IR,1579991837,73,25.29,60.64,66.69,5.48
katsuura,100,JP,1579991837,86,35.13,140.3,39.99,8.99
kamaishi,88,JP,1579991837,45,39.27,141.88,31.93,2.53
lakes entrance,25,US,1579991837,59,61.61,-149.31,5.0,7.0
boyolangu,78,ID,1579991837,84,-8.12,111.89,77.76,4.76
gusau,12,NG,1579991837,17,12.16,6.66,64.74,14.9
kattivakkam,42,IN,1579991837,85,13.22,80.32,73.99,1.99
palmer,90,US,1579991837,93,42.16,-72.33,45.0,8.05
aklavik,100,CA,1579991752,88,68.22,-135.01,-16.04,16.6
talnakh,100,RU,1579991838,94,69.49,88.4,2.93,6.44
shieli,67,KZ,1579991838,95,44.17,66.75,25.41,10.38
