City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
pisco,100,PE,1579991838,85,-13.7,-76.22,75.99,11.01
kalmunai,75,LK,1579991838,70,7.42,81.82,79.75,14.34
cidreira,60,BR,1579991838,73,-30.18,-50.21,74.77,18.75
beringovskiy,100,RU,1579991719,84,63.05,179.32,14.81,7.85
atikokan,91,CA,1579991838,96,48.76,-91.62,24.75,4.76
vulcanesti,51,MD,1579991838,47,45.68,28.4,36.09,2.77
cartagena,89,CO,1579991838,78,10.4,-75.51,79.12,18.81
serenje,28,ZM,1579991838,97,-13.23,30.24,62.78,2.89
lasa,75,IT,1579991838,69,46.62,10.7,36.0,2.24
manaure,43,CO,1579991839,86,11.78,-72.44,77.92,14.12
dunedin,49,NZ,1579991757,76,-45.87,170.5,64.0,14.0
stephenville,90,US,1579991839,59,32.22,-98.2,64.4,12.75
addi ugri,99,CH,1579991839,96,46.46,8.89,37.99,3.36
aksu,59,CN,1579991839,75,41.12,80.26,22.17,1.97
royan,100,FR,1579991839,95,45.63,-1.03,44.01,1.99
westport,90,US,1579991722,93,41.14,-73.36,52.0,4.7
verkhnevilyuysk,91,RU,1579991839,96,63.45,120.32,-20.36,7.65
constitucion,0,CL,1579991794,72,-35.33,-72.42,62.11,8.48
porto novo,0,PT,1579991576,82,41.15,-8.61,48.99,2.77
laguna,1,US,1579991623,82,38.42,-121.42,64.0,3.36
vostok,0,RU,1579991840,85,46.49,135.88,-5.76,5.14
ornskoldsvik,100,SE,1579991840,97,63.29,18.72,29.91,5.5
brownsville,100,US,1579991840,76,25.9,-97.5,75.0,5.01
awbari,74,LY,1579991840,19,26.59,12.78,58.44,9.17
kuala terengganu,67,ID,1579991840,88,3.38,98.62,73.42,1.61
faanui,22,PF,1579991726,76,-16.48,-151.75,82.45,11.21
namatanai,82,PG,1579991841,73,-3.67,152.43,84.67,10.92
ostrovnoy,65,RU,1579991841,99,68.05,39.51,0.63,8.19
havre-saint-pierre,83,CA,1579991841,73,50.23,-63.6,22.59,6.53
rio grande,98,GR,1579991841,75,38.3,21.78,39.99,5.03
komsomolskiy,100,UZ,1579991841,85,40.43,71.72,39.85,1.03
kayerkan,100,RU,1579991841,93,69.35,87.76,3.06,8.01
natchitoches,100,US,1579991841,61,31.77,-93.13,59.0,5.37
noumea,34,NC,1579991841,91,-22.28,166.46,82.0,21.72
hauterive,80,FR,1579991841,82,46.09,3.45,39.99,1.99
zorritos,27,PE,1579991841,81,-3.68,-80.68,78.3,16.46
tchollire,3,CM,1579991841,14,8.4,14.17,63.77,1.28
leninskoye,94,RU,1579991842,89,47.94,132.62,-2.18,5.06
kavieng,95,PG,1579991842,71,-2.57,150.8,84.36,8.97
petropavlovsk-kamchatskiy,100,RU,1579991842,83,53.05,158.65,22.77,10.47
antofagasta,19,CL,1579991579,49,-23.65,-70.4,72.0,1.5
sterling,75,US,1579991842,75,39.01,-77.43,48.99,5.82
pangkalanbuun,96,ID,1579991589,96,-2.68,111.62,75.2,0.87
tamiahua,48,MX,1579991842,85,21.27,-97.45,72.52,9.91
pevek,100,RU,1579991842,96,69.7,170.31,-13.14,1.79
semey,67,KZ,1579991842,83,50.41,80.23,6.71,6.85
novonikolayevskiy,99,RU,1579991842,87,50.97,42.36,36.0,23.0
koumac,86,NC,1579991843,56,-20.57,164.28,84.2,6.33
sao filipe,9,IN,1579991734,41,20.51,76.21,64.72,3.0
tilichiki,100,RU,1579991843,84,60.47,166.1,25.5,18.05
soe,88,ID,1579991843,71,-9.86,124.28,81.81,1.59
asyut,0,EG,1579991843,57,27.18,31.18,41.02,4.27
nago,100,JP,1579991843,88,26.59,127.98,71.01,10.0
hobyo,99,SO,1579991758,81,5.35,48.53,77.81,15.86
faya,0,SA,1579991843,68,18.39,42.45,45.57,6.78
gremyachinsk,98,RU,1579991844,79,58.56,57.85,10.99,1.99
moulins,76,FR,1579991844,82,46.5,3.33,39.99,1.99
altay,74,CN,1579991844,57,47.87,88.12,12.43,2.19
grindavik,40,IS,1579991844,80,63.84,-22.43,35.6,5.82
santiago,0,CL,1579991653,41,-33.46,-70.65,89.01,4.09
akureyri,90,IS,1579991844,92,65.68,-18.09,30.2,9.17
ryotsu,100,JP,1579991844,56,38.08,138.43,40.62,5.95
humboldt,100,US,1579991844,93,40.67,-123.92,59.0,1.01
porosozero,70,RU,1579991844,93,62.72,32.73,14.27,5.46
ban nahin,100,LA,1579991844,99,20.02,104.61,53.8,3.51
comodoro rivadavia,78,BR,1579991844,62,-13.66,-59.79,79.9,2.73
gergebil,31,RU,1579991845,59,42.5,47.07,22.64,2.68
mandalgovi,0,MN,1579991792,67,45.76,106.27,10.65,10.98
mar del plata,44,ES,1579991845,97,43.4,-4.01,50.0,6.96
fortuna,100,US,1579991845,93,40.6,-124.16,59.0,1.01
djibo,65,BF,1579991845,10,14.1,-1.63,72.57,10.56
ravar,0,IR,1579991845,57,31.27,56.81,39.06,7.4
vilyuysk,95,RU,1579991845,96,63.76,121.62,-30.48,10.2
turbat,0,PK,1579991845,87,26.0,63.04,62.01,1.19
kurilsk,76,RU,1579991845,83,45.23,147.88,11.19,27.78
sao joao da barra,9,IN,1579991734,41,20.51,76.21,64.72,3.0
hofn,87,IS,1579991846,91,64.25,-15.21,36.64,5.48
aykhal,100,RU,1579991585,100,66.0,111.5,-20.31,8.7
smiths falls,50,US,1579991846,53,32.54,-85.1,55.99,1.01
remedios,0,CU,1579991846,70,22.49,-79.55,71.92,7.99
eureka,100,US,1579991554,93,40.8,-124.16,59.0,1.01
pereslavl-zalesskiy,99,RU,1579991846,91,56.74,38.86,26.02,17.2
lagoa,100,PT,1579991846,67,39.05,-27.98,58.33,10.18
qaqortoq,99,GL,1579991846,72,60.72,-46.03,15.8,3.36
brigantine,58,US,1579991846,98,39.41,-74.36,48.99,11.01
newcastle,10,AU,1579991579,77,-32.93,151.78,86.0,4.0
bosaso,32,SO,1579991836,77,11.28,49.18,76.23,2.06
gamba,16,GA,1579991847,85,-2.65,10.0,78.57,3.98
karczew,95,PL,1579991847,25,52.08,21.25,37.0,6.13
hermiston,1,US,1579991847,66,45.84,-119.29,59.0,3.36
san quintin,64,ML,1579991743,9,13.3,-4.9,74.7,10.31
petauke,35,ZM,1579991847,96,-14.24,31.33,65.35,2.42
uglekamensk,0,RU,1579991847,49,43.22,133.23,12.33,4.92
dungarvan,100,IE,1579991847,83,52.09,-7.63,48.0,10.0
pacific grove,90,US,1579991847,69,38.48,-90.74,36.0,5.82
kloulklubed,36,PW,1579991847,83,7.04,134.26,82.04,17.16
soyaux,96,FR,1579991848,91,45.65,0.2,48.0,1.01
chiltepec,16,MX,1579991848,93,18.48,-96.9,56.77,3.15
teya,90,RU,1579991802,82,60.38,92.63,14.13,14.23
buala,6,SB,1579991848,63,-8.14,159.59,86.49,2.57
turochak,100,RU,1579991848,97,52.26,87.12,22.53,2.1
east london,90,IS,1579991848,88,65.0,-15.0,32.0,11.41
dhidhdhoo,87,MV,1579991848,66,6.88,73.1,82.02,3.76
nandigama,90,IN,1579991848,81,16.78,80.3,67.53,1.61
porecatu,8,BR,1579991848,84,-22.76,-51.38,69.75,2.86
yar-sale,86,RU,1579991848,99,66.83,70.83,-4.4,5.35
boa vista,13,CM,1579991849,85,4.43,8.97,76.24,1.23
mindelo,98,CV,1579991849,82,16.89,-24.98,68.9,16.49
baker city,1,US,1579991849,39,30.59,-91.17,64.4,5.82
deder,100,ET,1579991849,92,9.32,41.45,62.11,5.57
yulara,0,AU,1579991849,14,-25.24,130.99,87.1,17.07
akyab,0,MM,1579991849,67,20.15,92.9,58.17,7.63
port shepstone,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
vila franca do campo,1,PT,1579991849,88,42.03,-8.16,51.01,3.76
roald,100,NO,1579991849,90,62.58,6.13,48.0,11.99
boda,97,CF,1579991849,20,4.32,17.47,66.42,4.14
broome,100,US,1579991850,100,42.25,-75.83,37.0,6.04
egvekinot,79,RU,1579991850,87,66.32,-179.17,-3.48,2.8
bowen,98,AU,1579991850,92,-20.02,148.23,80.01,6.73
khakhea,40,BW,1579991850,59,-24.69,23.49,73.74,16.44
camacha,12,PT,1579991850,96,33.08,-16.33,45.0,2.13
paamiut,93,GL,1579991850,64,61.99,-49.67,18.07,21.72
paciran,97,ID,1579991850,89,-6.88,112.38,76.75,3.87
tagusao,62,PH,1579991850,85,9.19,117.81,78.44,2.57
ternate,27,ID,1579991850,76,0.8,127.4,81.54,2.15
portland,74,US,1579991822,74,45.52,-122.68,59.0,1.01
bilibino,100,RU,1579991851,88,68.05,166.44,-4.9,4.18
evensk,100,RU,1579991851,84,61.95,159.23,14.25,18.14
tobol,100,KZ,1579991845,91,52.68,62.58,20.43,21.3
shingu,100,JP,1579991851,92,33.73,135.98,52.21,16.82
khorixas,5,NA,1579991851,39,-20.37,14.97,70.95,2.08
saldanha,29,ZA,1579991744,77,-33.01,17.94,64.4,3.36
vuktyl,87,RU,1579991585,95,63.86,57.31,-8.32,4.38
flinders,21,AU,1579991851,22,-34.58,150.86,89.01,10.0
bijar,4,IR,1579991851,88,35.87,47.61,7.38,4.47
apsalos,100,GR,1579991852,89,40.89,22.05,32.0,2.04
wana,0,PK,1579991852,56,32.3,69.57,27.84,4.45
thessalon,100,CA,1579991852,97,46.25,-83.57,33.67,1.68
herat,12,AF,1579991852,85,34.5,62.0,32.13,8.95
ahipara,59,NZ,1579991852,69,-35.17,173.17,88.0,1.99
palmas bellas,100,BR,1579991759,92,-10.21,-48.36,75.83,2.73
natal,81,BR,1579991853,81,-5.79,-35.21,82.13,13.02
karachi,0,PK,1579991643,88,24.91,67.08,65.8,6.38
zlobin,100,HR,1579991853,96,45.29,14.65,48.99,3.24
sebinkarahisar,10,TR,1579991853,57,40.29,38.42,16.84,4.34
smithers,65,CA,1579991853,96,54.78,-127.17,27.72,3.58
erenhot,0,CN,1579991853,78,43.65,111.98,13.96,7.72
fairbanks,100,US,1579991694,63,64.84,-147.72,-5.01,8.01
derzhavinsk,99,KZ,1579991854,91,51.1,66.32,15.51,25.59
anaco,100,VE,1579991854,79,9.44,-64.47,75.47,5.41
emerald,100,AU,1579991854,88,-23.53,148.17,77.0,5.01
veraval,0,IN,1579991854,33,20.9,70.37,64.35,8.5
puerto carreno,0,ES,1579991854,91,36.59,-6.23,52.0,1.83
itoman,100,JP,1579991854,88,26.12,127.67,71.01,10.0
port blair,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
yermakovskoye,100,RU,1579991854,79,53.28,92.4,19.49,3.24
masallatah,89,LY,1579991854,38,32.62,14.0,58.01,3.18
myitkyina,0,MM,1579991854,72,25.38,97.4,45.39,3.65
lorengau,12,PG,1579991855,73,-2.02,147.27,83.16,4.23
mariental,0,NA,1579991855,22,-24.63,17.97,70.41,7.18
storforshei,100,NO,1579991855,96,66.4,14.52,24.01,7.0
darnah,48,LY,1579991855,59,32.77,22.64,59.97,12.66
acapulco,20,MX,1579991603,71,16.86,-99.89,76.64,4.52
margate,100,GB,1579991855,91,51.38,1.39,44.01,1.99
krasnoselkup,92,RU,1579991855,99,65.7,82.47,-6.43,8.28
poltsamaa,13,EE,1579991856,89,58.65,25.97,32.0,1.01
kassala,0,SD,1579991856,82,15.45,36.4,53.58,7.92
makakilo city,6,US,1579991686,70,21.35,-158.09,80.01,7.83
bonthe,1,SL,1579991856,90,7.53,-12.51,76.89,5.91
khasan,0,RU,1579991856,76,42.43,130.64,13.93,4.88
atar,87,MR,1579991723,23,20.52,-13.05,72.72,9.91
dongsheng,0,CN,1579991856,80,39.82,109.98,12.79,2.86
isangel,33,VU,1579991856,83,-19.55,169.27,78.57,13.71
bernalillo,39,US,1579991856,35,35.05,-106.67,57.0,3.0
chuguyevka,0,RU,1579991856,74,44.17,133.86,2.07,2.01
nishihara,100,JP,1579991856,88,26.18,127.76,71.01,10.0
huadian,0,CN,1579991856,85,42.96,126.75,2.86,1.77
bandarbeyla,84,SO,1579991857,82,9.49,50.81,78.55,20.42
letlhakane,10,BW,1579991857,55,-21.42,25.58,75.87,5.46
zarasai,20,LT,1579991857,96,55.73,26.25,31.35,7.05
bagdarin,0,RU,1579991857,90,54.43,113.6,-5.33,1.5
port-gentil,2,GA,1579991857,78,-0.72,8.78,83.39,13.53
sandwick,95,GB,1579991857,82,60.0,-1.25,46.2,21.47
kamina,100,CD,1579991857,97,-8.74,24.99,65.34,2.91
klaksvik,100,FO,1579991778,86,62.23,-6.59,45.84,18.7
platonovka,56,RU,1579991857,86,52.71,41.95,26.35,15.73
sri aman,7,MA,1579991858,79,30.04,-8.8,42.3,2.15
dwarka,0,IN,1579991858,69,22.24,68.97,71.82,11.65
pochinki,100,RU,1579991858,89,54.7,44.87,24.49,16.82
tessalit,100,ML,1579991858,10,20.2,1.01,74.19,10.94
providencia,0,MX,1579991749,43,28.72,-111.58,79.0,4.0
acari,77,PE,1579991858,91,-15.43,-74.62,66.79,6.35
roma,100,US,1579991679,87,43.21,-75.46,35.01,1.9
lipin bor,100,PL,1579991858,86,52.93,15.12,36.0,3.0
mecca,0,SA,1579991858,27,21.43,39.83,59.88,11.01
ewa beach,23,ID,1579991858,75,-8.62,122.51,82.62,2.64
hirara,100,JP,1579991859,89,24.8,125.28,73.0,9.89
tuy hoa,56,PH,1579991859,91,14.02,120.73,75.99,1.01
barahona,11,DO,1579991859,74,18.21,-71.1,77.74,6.02
ajaccio,96,FR,1579991859,100,42.0,8.92,44.6,9.17
maltahohe,0,NA,1579991859,48,-24.83,16.98,59.7,10.27
moussoro,0,TD,1579991859,17,13.64,16.49,61.05,13.6
novikovo,100,RU,1579991859,90,51.15,37.89,32.61,15.26
ulaanbaatar,0,MN,1579991859,75,47.91,106.88,3.45,4.63
tromso,41,NO,1579991859,77,69.65,18.96,12.99,4.88
kodinsk,100,RU,1579991859,81,58.69,99.18,21.24,14.05
labuhan,100,ID,1579991859,91,-6.88,112.21,75.97,3.78
narasannapeta,80,IN,1579991859,93,18.42,84.05,66.72,3.11
sao paulo de olivenca,9,IN,1579991860,41,20.51,76.21,64.72,3.0
adrar,83,MR,1579991860,21,20.5,-10.07,76.23,11.05
asau,65,RO,1579991860,86,46.43,26.4,27.0,5.99
abhar,70,IR,1579991860,99,36.15,49.22,8.31,5.32
rodrigues alves,100,MU,1579991860,83,-19.7,63.42,82.02,27.65
jidong,0,CN,1579991860,69,45.22,131.08,4.91,6.46
castanas,50,PH,1579991860,96,13.88,121.55,73.99,1.92
praia da vitoria,75,CV,1579991860,72,14.92,-23.51,71.33,13.09
ridgecrest,91,US,1579991715,34,35.62,-117.67,66.99,1.01
gambela,99,ET,1579991860,27,8.25,34.58,74.97,2.44
oktyabrskiy,66,RU,1579991730,95,54.48,53.47,15.73,4.5
auki,2,SB,1579991754,75,-8.77,160.7,83.44,4.61
bayeux,73,BR,1579991861,85,-7.12,-34.93,79.9,5.84
hasaki,100,JP,1579991861,90,35.73,140.83,39.0,14.88
bochov,98,CZ,1579991861,91,50.15,13.05,32.0,1.97
kiama,21,AU,1579991760,22,-34.68,150.87,84.0,10.0
north platte,98,FR,1579991861,99,50.33,3.67,39.0,1.99
san felipe,64,ML,1579991743,9,13.3,-4.9,74.7,10.31
fort frances,41,NL,1579991620,77,52.65,6.39,37.0,4.7
ardakan,74,IR,1579991861,56,32.31,54.02,41.14,6.89
baruun-urt,0,MN,1579991861,83,46.68,113.28,7.63,10.36
ugoofaaru,100,MV,1579991861,68,5.67,73.0,82.22,6.58
marsh harbour,98,GB,1579991862,96,53.65,-1.81,44.01,3.0
nevinnomyssk,13,RU,1579991616,10,44.63,41.95,30.0,1.01
apatity,41,RU,1579991782,94,67.56,33.4,0.88,6.17
taldan,76,RU,1579991585,96,53.67,124.8,-24.02,1.23
mangrol,0,IN,1579991862,53,21.12,70.12,70.93,14.9
kudahuvadhoo,100,MV,1579991862,79,2.67,72.89,81.21,14.05
ust-kuyga,1,RU,1579991799,96,70.02,135.6,-41.87,7.18
taitung,100,TW,1579991862,93,22.76,121.14,54.28,0.4
celestun,0,MX,1579991862,80,20.87,-90.4,73.76,24.81
selikhino,100,RU,1579991863,95,50.37,137.5,-7.33,10.89
port lincoln,100,CD,1579991813,72,-7.03,29.76,75.99,2.46
lensk,91,RU,1579991863,95,60.73,114.93,12.7,5.73
mehamn,100,NO,1579991863,77,71.04,27.85,17.69,21.21
berlevag,100,NO,1579991863,73,70.86,29.09,22.66,27.4
san rafael,64,ML,1579991829,9,13.3,-4.9,74.7,10.31
saint-leu,100,RE,1579991863,77,-21.15,55.28,72.0,3.98
ayan,0,RU,1579991863,70,56.45,138.17,-18.4,12.15
tokoroa,3,NZ,1579991863,60,-38.23,175.87,81.0,1.01
sabha,98,LY,1579991863,22,27.04,14.43,58.15,12.62
sokoto,14,NG,1579991863,11,13.06,5.24,67.24,12.64
paka,40,MY,1579991864,94,4.64,103.44,73.0,1.99
hervey bay,64,US,1579991864,50,33.5,-93.78,57.0,8.99
yatou,100,CN,1579991644,66,37.15,122.38,38.86,14.23
cap malheureux,41,FR,1579991864,80,49.27,-1.21,46.0,3.0
buchanan,0,LR,1579991864,94,5.88,-10.05,76.21,0.67
waingapu,61,ID,1579991864,76,-9.66,120.26,83.35,6.35
okhotsk,71,RU,1579991864,71,59.38,143.3,-19.48,14.83
sao gabriel da cachoeira,9,IN,1579991734,41,20.51,76.21,64.72,3.0
araouane,100,ML,1579991864,9,18.9,-3.53,75.96,5.03
north bend,98,FR,1579991864,99,50.33,3.67,39.0,1.99
saint-georges,100,GD,1579991859,78,12.06,-61.75,79.54,12.19
tandalti,0,SD,1579991864,19,13.02,31.87,59.32,11.65
tekeli,100,KZ,1579991864,97,44.83,78.82,17.4,1.86
kirakira,0,SB,1579991865,66,-10.45,161.92,85.98,5.01
shelburne,100,CA,1579991865,92,44.08,-80.2,36.0,9.66
muskogee,51,US,1579991865,62,35.58,-95.33,54.0,4.0
singkang,46,MY,1579991865,83,2.1,102.8,77.0,1.99
kropotkin,91,RU,1579991865,74,45.44,40.58,41.0,24.4
voyvozh,99,RU,1579991865,99,62.89,54.96,-4.22,4.21
santarem,91,BR,1579991599,74,-2.44,-54.71,81.54,4.88
balikpapan,46,ID,1579991865,79,-1.27,116.83,81.91,7.31
omboue,14,GA,1579991865,93,-1.57,9.26,76.26,2.46
bac lieu,59,RS,1579991865,71,45.39,19.24,37.99,5.61
ilinskiy,80,RU,1579991865,62,55.62,38.12,33.01,7.0
kumbo,72,CM,1579991866,23,6.2,10.67,60.67,3.49
nyuksenitsa,98,RU,1579991866,92,60.41,44.24,12.16,9.01
pringsewu,73,ID,1579991866,89,-5.36,104.97,73.58,1.81
